path,c_total,c_a-midsummer-nights-dream,c_alls-well-that-ends-well,c_antony-and-cleopatra,c_as-you-like-it,c_coriolanus,c_cymbeline,c_hamlet,c_henry-iv-part-1,c_henry-iv-part-2,c_henry-v,c_henry-vi-part-1,c_henry-vi-part-2,c_henry-vi-part-3,c_henry-viii,c_julius-caesar,c_king-john,c_king-lear,c_loves-labors-lost,c_macbeth,c_measure-for-measure,c_much-ado-about-nothing,c_othello,c_pericles,c_richard-ii,c_richard-iii,c_romeo-and-juliet,c_the-comedy-of-errors,c_the-merchant-of-venice,c_the-merry-wives-of-windsor,c_the-taming-of-the-shrew,c_the-tempest,c_the-two-gentlemen-of-verona,c_the-winters-tale,c_timon-of-athens,c_titus-andronicus,c_troilus-and-cressida,c_twelfth-night
[document]/TEI/text/body/div/sp/ab/w,331,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/front/castList/castGroup,311,6,6,8,9,5,8,10,9,13,18,2,13,7,8,8,9,8,7,11,7,6,6,11,13,17,6,7,6,9,10,5,8,7,10,8,4,6
[document]/TEI/text/front/castList/castGroup/castGroup/castItem/role,306,8,8,22,8,0,2,9,0,23,30,0,14,18,0,27,4,0,6,7,0,4,2,2,16,14,3,0,8,6,17,2,0,4,15,10,15,2
[document]/TEI/text/body/div/div/sp/q/lb,301,0,26,0,0,0,38,5,0,0,0,0,0,3,9,10,0,14,70,14,8,0,0,0,0,0,8,0,22,11,0,0,22,15,0,0,0,26
[document]/TEI/text/front/castList/castGroup/castGroup/castItem/role/name,299,8,8,22,8,0,2,8,0,23,30,0,14,18,0,27,4,0,6,5,0,4,2,2,16,14,3,0,8,6,13,2,0,4,15,10,15,2
[document]/TEI/text/body/div/sp/ab/c,295,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/p/stage/pc,288,2,9,1,19,12,2,6,15,21,4,0,8,0,0,0,0,8,22,12,5,3,1,1,0,0,2,0,2,65,3,5,8,5,18,0,6,23
[document]/TEI/teiHeader/encodingDesc/projectDesc/p/list/item/gi,222,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
[document]/TEI/text/body/div/div/sp/q/lg/l/pc,222,0,38,0,23,0,0,4,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,4,0,27,16,28,0,0,20,14
[document]/TEI/text/body/div/div/sp/stage/stage,218,1,0,5,16,9,25,8,8,2,4,19,4,5,4,5,4,3,3,7,28,0,5,4,4,4,2,0,4,5,5,5,0,6,3,2,7,2
[document]/TEI/text/body/div,192,5,5,5,5,5,5,5,5,7,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,5,5,6,5
[document]/TEI/text/body/div/head,190,5,5,5,5,5,5,5,5,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,5
[document]/TEI/text/body/div/div/sp/p/q/pc,186,0,10,0,0,0,0,0,34,21,0,11,2,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,78
[document]/TEI/text/body/div/head/c,186,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5
[document]/TEI/teiHeader/encodingDesc/projectDesc/p/list/item,185,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
[document]/TEI/teiHeader/profileDesc/langUsage/language,185,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
[document]/TEI/text/body/div/sp/l/pc,179,0,0,0,0,0,0,0,0,38,41,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,42,0
[document]/TEI/text/body/div/div/sp/p/stage,179,2,8,1,8,4,1,6,9,15,4,0,7,0,0,0,0,6,13,4,5,3,1,1,0,0,2,0,2,26,4,5,4,3,7,0,4,24
[document]/TEI/text/body/div/div/sp/q/l/pc,173,0,0,0,23,14,0,0,0,0,4,4,11,0,0,13,0,0,0,0,0,0,0,29,0,3,0,0,28,0,0,3,2,0,16,8,15,0
[document]/TEI/text/body/div/div/sp/q/p/w,168,0,10,0,0,0,0,41,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/q/lg/l,152,0,22,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,5,0,15,10,20,0,0,10,8
[document]/TEI/text/body/div/sp/l,151,0,0,0,0,0,0,0,0,40,34,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,31,0
[document]/TEI/teiHeader/fileDesc/titleStmt/respStmt/name,148,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/publicationStmt/address/addrLine,148,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
[document]/TEI/text/body/div/div/sp/q/p/c,145,0,8,0,0,0,0,36,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/stage/stage/pc,142,1,0,5,3,12,1,9,9,1,4,13,4,5,5,4,2,3,4,6,2,0,5,4,2,5,1,0,0,1,3,10,0,7,2,2,5,2
[document]/TEI/text/body/div/div/stage/stage/stage/w,126,2,0,0,2,6,1,0,11,3,1,18,16,12,0,2,3,3,0,11,0,0,0,0,0,7,0,0,0,7,0,1,0,0,0,11,9,0
[document]/TEI/text/body/div/div/sp/q/l,125,0,0,0,28,9,0,0,0,0,2,5,11,0,0,3,0,0,0,0,0,0,0,18,0,2,1,0,27,0,0,2,1,0,6,8,2,0
[document]/TEI/text/body/div/div/sp/q,102,0,7,0,6,1,5,3,0,0,1,1,7,1,1,2,0,2,12,1,1,0,0,2,0,1,1,0,5,1,0,3,22,4,2,1,1,8
[document]/TEI/text/front/castList/castGroup/castGroup,91,2,3,3,3,0,1,3,0,5,7,2,4,4,1,5,1,0,2,2,0,2,1,1,4,4,1,0,3,2,4,1,0,2,4,3,10,1
[document]/TEI/text/front/castList/castGroup/castGroup/head,80,2,3,3,3,0,1,2,0,5,7,2,4,4,1,5,1,0,2,2,0,2,1,1,4,4,1,0,3,2,4,1,0,2,4,3,0,1
[document]/TEI/text/body/div/div/sp/p/q/lb,78,0,8,0,0,0,0,0,11,13,0,5,2,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/titleStmt/respStmt/name,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[document]/TEI/teiHeader/fileDesc/titleStmt/editor,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[document]/TEI/teiHeader/fileDesc/titleStmt/respStmt,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[document]/TEI/teiHeader/fileDesc/titleStmt/respStmt/resp,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[document]/TEI/teiHeader/fileDesc/sourceDesc/biblFull/titleStmt/editor,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[document]/TEI/teiHeader/encodingDesc/projectDesc/p,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[document]/TEI/teiHeader/encodingDesc/refsDecl/p,74,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[document]/TEI/text/body/div/div/stage/stage/stage/c,70,1,0,0,1,4,0,0,7,1,0,7,11,6,0,0,0,1,0,6,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,10,6,0
[document]/TEI/text/front/castList/castGroup/castItem/name,66,0,1,5,0,16,9,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,9,2,4,0,0,0,0,0,0,1,6,7,0,0,1
[document]/TEI/text/body/div/sp/ab/pc,61,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[document]/TEI/text/body/div/div/sp/l/q/w,59,0,25,0,0,0,17,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
[document]/TEI/text/body/div/div/stage/stage/stage,56,1,0,0,1,2,1,0,4,2,1,11,5,6,0,2,3,2,0,5,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,3,0
